Quelle 	 Ziel 
First Spirit                                                          	 FirstSpirit                                                           
Agiles Business Development                                           	 Business Consulting                                                   
                                                                      	 Business Productivity                                                 
                                                                      	 PBM - Personal Business Machine                                       
                                                                      	 SAP Custom Development & Integration                                  
Design for Operation                                                  	 Kreation & Design                                                     
                                                                      	 Design Thinking                                                       
                                                                      	 Requirements Engineering & Design                                     
Chatbot                                                               	 Chatbots                                                              
Innovation Management                                                 	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
                                                                      	 Security Management                                                   
Digital Transformation                                                	 Digital Design                                                        
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Digital Mastery (Digital Readiness Check)                             
                                                                      	 Digitale Beratungs- und Verkaufsprozesse                              
                                                                      	 Digitale Firmenkundenschnittstelle                                    
                                                                      	 Digitale Kundenschnittstelle                                          
                                                                      	 Digitale Signatur                                                     
                                                                      	 Digitaler Schadensprozess                                             
                                                                      	 Digitalisierung Bankenkooperation                                     
                                                                      	 Business Transformation                                               
Requirements Engineering & Design                                     	 Requirements-Engineering                                              
                                                                      	 Grafik/ Design/ Kreation                                              
                                                                      	 Design for Operation                                                  
                                                                      	 Design Thinking                                                       
                                                                      	 Digital Design                                                        
Pragmatisches IT Projektmanagement                                    	 IT-Konsolidierung des Bundes                                          
                                                                      	 IT-Organisation & -Steuerung                                          
                                                                      	 IT-ARCHITEKTUR & BUSINESS INTEGRATION                                 
                                                                      	 IT-Prozesse und IT-Providermanagement                                 
                                                                      	 IT Transformation & Agilisierung der Organisation                     
                                                                      	 IT Strategy & Enterprise Architecture Consulting                      
                                                                      	 IT Consulting & Software Architecture                                 
                                                                      	 Projektmanagement                                                     
Hosting & Application Management                                      	 IT-Betrieb und -Hosting                                               
                                                                      	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
                                                                      	 Security Management                                                   
BiPRO                                                                 	 BiPRO                                                                 
Microsoft                                                             	 Microsoft.net                                                         
IT muss neue gedacht werden - New School of IT                        	 IT-Konsolidierung des Bundes                                          
                                                                      	 IT-Organisation & -Steuerung                                          
                                                                      	 IT-ARCHITEKTUR & BUSINESS INTEGRATION                                 
                                                                      	 IT-Prozesse und IT-Providermanagement                                 
                                                                      	 IT Transformation & Agilisierung der Organisation                     
                                                                      	 IT Strategy & Enterprise Architecture Consulting                      
                                                                      	 IT Consulting & Software Architecture                                 
App-Entwicklung                                                       	 Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen
Cloud (Azure)                                                         	 Cloud/ Cloudmanagement                                                
Hosting & Plattform Management                                        	 IT-Betrieb und -Hosting                                               
                                                                      	 com2m IoT Plattform                                                   
                                                                      	 Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen
                                                                      	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
                                                                      	 Security Management                                                   
Digitale Beratungs- und Verkaufsprozesse                              	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
                                                                      	 Beratungsleistung IoT                                                 
Digitalisierung Bankenkooperation                                     	 E2E Digitalisierung Vertrieb/Service/Marketing                        
                                                                      	 Digitalisierungsstrategie                                             
Big Data                                                              	 Informationsmanagement im Zeichen von Big Data                        
                                                                      	 Data Science / Künstliche Intelligenz                                 
Robotic Process Automation                                            	 Marketing Automation                                                  
CRM Beratung und Implementierung                                      	 Digitale Beratungs- und Verkaufsprozesse                              
Digitaler Bankarbeitsplatz                                            	 Digitaler Schadensprozess                                             
Software Engineering                                                  	 DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen           
                                                                      	 Entwicklung einen Raum geben - Software-Projekte im Interaction Room  
                                                                      	 Requirements-Engineering                                              
Entwicklung einen Raum geben - Software-Projekte im Interaction Room  	 Konzeption & Entwicklung von Medizintechnik Software & Apps           
                                                                      	 SAP S/4HANA (Modulberatung & Entwicklung)                             
                                                                      	 App-Entwicklung                                                       
                                                                      	 Interaction Room (IR)                                                 
IT-Betrieb und -Hosting                                               	 Hosting & Application Management                                      
                                                                      	 Hosting & Plattform Management                                        
Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen	 IoT-Cloud-Plattformen                                                 
Marketing Automation                                                  	 Predictive Marketing                                                  
                                                                      	 Robotic Process Automation                                            
Einführungsmanagement (Cutover Management)                            	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
in|RELATION Customer Relationship Management                          	 Customer Data Hub                                                     
                                                                      	 Customer Data Hub/Customer Data Platform                              
                                                                      	 SAP Customer Experience                                               
                                                                      	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
Portale zur Übermittlung und Bearbeitung von Angeboten                	 Portale für eine einzigartige CEX                                     
                                                                      	 Websites & Portale                                                    
Business Intelligence and Analytics                                   	 Business Consulting                                                   
                                                                      	 Business Productivity                                                 
                                                                      	 PBM - Personal Business Machine                                       
                                                                      	 SAP BW/4HANA (Analytics)                                              
                                                                      	 Data & Analytics                                                      
                                                                      	 Data & Analytics Platform                                             
                                                                      	 Self Service Analytics and BI                                         
Product tService                                                      	 Lean Startup (Minimum Viable Product)                                 
Service & Security Management                                         	 Security Management                                                   
                                                                      	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
Application Management                                                	 Hosting & Application Management                                      
                                                                      	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
Predictive Maintenance und Field Service                              	 Predictive Marketing                                                  
Agile                                                                 	 Agile Onboarding                                                      
                                                                      	 Agile Portfolio                                                       
                                                                      	 Agiles Business Development                                           
                                                                      	 Agiles Projektmanagement                                              
Data & Analytics Platform                                             	 Data Science / Künstliche Intelligenz                                 
                                                                      	 Informationsmanagement im Zeichen von Big Data                        
                                                                      	 Business Intelligence and Analytics                                   
Java                                                                  	 Java                                                                  
Interaction Room                                                      	 Interaction Room (IR)                                                 
SAP S/4HANA (Modulberatung & Entwicklung)                             	 Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen
                                                                      	 Entwicklung einen Raum geben - Software-Projekte im Interaction Room  
Business Integration                                                  	 Business Consulting                                                   
                                                                      	 Business Productivity                                                 
                                                                      	 PBM - Personal Business Machine                                       
                                                                      	 Integration Layer & Bank-APIs                                         
                                                                      	 SAP Custom Development & Integration                                  
Security Management                                                   	 Service & Security Management                                         
                                                                      	 Embedded Security                                                     
                                                                      	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
Self Service Analytics and BI                                         	 Business Intelligence and Analytics                                   
PBM - Personal Business Machine                                       	 PBM                                                                   
                                                                      	 Agiles Business Development                                           
                                                                      	 Business Integration                                                  
                                                                      	 Business Intelligence and Analytics                                   
                                                                      	 Business Transformation                                               
                                                                      	 Machine / Deep-Learning                                               
Mobile Ticketing                                                      	 Mobile Testing                                                        
                                                                      	 Mobiler Außendienst-Assistent (Prototyp)                              
Customer Journey                                                      	 Customer Data Hub                                                     
                                                                      	 Customer Data Hub/Customer Data Platform                              
                                                                      	 SAP Customer Experience                                               
Agile Onboarding                                                      	 Agile                                                                 
Change Management & Veränderungsfähigkeit                             	 Change Management                                                     
                                                                      	 Application Management                                                
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
                                                                      	 Security Management                                                   
Digitaler Shopfloor                                                   	 Digitaler Schadensprozess                                             
Business Consulting                                                   	 Agiles Business Development                                           
                                                                      	 Business Integration                                                  
                                                                      	 Business Intelligence and Analytics                                   
                                                                      	 Business Transformation                                               
Data & Analytics                                                      	 Data Science / Künstliche Intelligenz                                 
                                                                      	 Informationsmanagement im Zeichen von Big Data                        
                                                                      	 Business Intelligence and Analytics                                   
Digitale Firmenkundenschnittstelle                                    	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
Insurance                                                             	 Insurance Distribution Directive                                      
Lean Startup (Minimum Viable Product)                                 	 Product tService                                                      
                                                                      	 Business Productivity                                                 
Omni Channel Management                                               	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
Customer Relationship Management                                      	 Customer Data Hub                                                     
                                                                      	 Customer Data Hub/Customer Data Platform                              
                                                                      	 SAP Customer Experience                                               
                                                                      	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
Mobile Testing                                                        	 Mobile Apps for Health                                                
                                                                      	 Mobile Ticketing                                                      
Customer Data Hub/Customer Data Platform                              	 Customer Journey                                                      
                                                                      	 Customer Experience Kampagne                                          
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 Data Science / Künstliche Intelligenz                                 
                                                                      	 Informationsmanagement im Zeichen von Big Data                        
Chatbot Wings App (Prototyp)                                          	 Chatbots                                                              
                                                                      	 Konzeption & Entwicklung von Medizintechnik Software & Apps           
                                                                      	 Mobile Apps for Health                                                
                                                                      	 Hosting & Application Management                                      
                                                                      	 App-Entwicklung                                                       
Informationsmanagement im Zeichen von Big Data                        	 Big Data                                                              
                                                                      	 Customer Data Hub                                                     
                                                                      	 Customer Data Hub/Customer Data Platform                              
                                                                      	 Data Science & ML                                                     
                                                                      	 Data & Analytics                                                      
                                                                      	 Data & Analytics Platform                                             
Passive Rückversicherung                                              	 Rückversicherungsprozesse                                             
IT Transformation & Agilisierung der Organisation                     	 DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen           
                                                                      	 Flexibel reagieren - Elastische IT-Infrastrukturen etablieren         
                                                                      	 IT Assessment                                                         
                                                                      	 IT muss neue gedacht werden - New School of IT                        
                                                                      	 IT-Architekturmanagement                                              
                                                                      	 IT-Betrieb und -Hosting                                               
                                                                      	 ITIL                                                                  
                                                                      	 IT-Providermanagement                                                 
                                                                      	 Pragmatisches IT Projektmanagement                                    
                                                                      	 Business Transformation                                               
a|advanced fraud management                                           	 Betrugsmanagement                                                     
                                                                      	 Variantenmanagement                                                   
                                                                      	 IT-Prozesse und IT-Providermanagement                                 
                                                                      	 Projektmanagement                                                     
                                                                      	 Datenmanagement (DWH/Reporting)                                       
Digital Identity Management (Authentifizierung, Identifizierung)      	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
                                                                      	 E2E Digitalisierung Vertrieb/Service/Marketing                        
                                                                      	 Digital Transformation                                                
                                                                      	 Digitalisierungsstrategie                                             
                                                                      	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen           	 DevOps                                                                
Business Productivity                                                 	 Agiles Business Development                                           
                                                                      	 Business Integration                                                  
                                                                      	 Business Intelligence and Analytics                                   
                                                                      	 Business Transformation                                               
SAP Custom Development & Integration                                  	 Customer Journey                                                      
                                                                      	 Customer Experience Kampagne                                          
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 Agiles Business Development                                           
                                                                      	 Business Integration                                                  
Digitaler Schadensprozess                                             	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
SAP BW/4HANA (Analytics)                                              	 Business Intelligence and Analytics                                   
KVAI PRO                                                              	 BiPRO                                                                 
Data Science & ML                                                     	 Data Science / Künstliche Intelligenz                                 
                                                                      	 Informationsmanagement im Zeichen von Big Data                        
Digitale Signatur                                                     	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
Grafik/ Design/ Kreation                                              	 Kreation & Design                                                     
                                                                      	 Design Thinking                                                       
                                                                      	 Requirements Engineering & Design                                     
IT Assessment                                                         	 IT-Konsolidierung des Bundes                                          
                                                                      	 IT-Organisation & -Steuerung                                          
                                                                      	 IT-ARCHITEKTUR & BUSINESS INTEGRATION                                 
                                                                      	 IT-Prozesse und IT-Providermanagement                                 
                                                                      	 IT Transformation & Agilisierung der Organisation                     
                                                                      	 IT Strategy & Enterprise Architecture Consulting                      
                                                                      	 IT Consulting & Software Architecture                                 
PBM                                                                   	 PBM - Personal Business Machine                                       
Konzeption & Entwicklung von Medizintechnik Software & Apps           	 Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen
                                                                      	 Entwicklung einen Raum geben - Software-Projekte im Interaction Room  
                                                                      	 DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen           
Mobile Apps for Health                                                	 Mobile Testing                                                        
                                                                      	 Mobiler Außendienst-Assistent (Prototyp)                              
Data Science / Künstliche Intelligenz                                 	 Customer Data Hub                                                     
                                                                      	 Customer Data Hub/Customer Data Platform                              
                                                                      	 Data Science & ML                                                     
                                                                      	 Data & Analytics                                                      
                                                                      	 Data & Analytics Platform                                             
                                                                      	 Big Data                                                              
                                                                      	 Health | Life Sciences                                                
                                                                      	 Life Sciences Regulatorik                                             
Beratungsleistung IoT                                                 	 com2m IoT Plattform                                                   
Change Management                                                     	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
in|sure                                                               	 in|sure                                                               
Customer Experience Kampagne                                          	 Customer Data Hub                                                     
                                                                      	 Customer Data Hub/Customer Data Platform                              
                                                                      	 SAP Customer Experience                                               
Schaden-/ Leistungsmanagement                                         	 Schaden-/ Leistungsprozesse                                           
Integration Layer & Bank-APIs                                         	 Business Integration                                                  
Digitale Kundenschnittstelle                                          	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
Design Thinking                                                       	 Design Thinking                                                       
                                                                      	 Kreation & Design                                                     
                                                                      	 Requirements Engineering & Design                                     
                                                                      	 Grafik/ Design/ Kreation                                              
                                                                      	 Design for Operation                                                  
                                                                      	 Digital Design                                                        
DevOps                                                                	 DevOps                                                                
                                                                      	 DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen           
Portale für eine einzigartige CEX                                     	 Portale zur Übermittlung und Bearbeitung von Angeboten                
                                                                      	 Entwicklung einen Raum geben - Software-Projekte im Interaction Room  
Cloud/ Cloudmanagement                                                	 Cloud (Azure)                                                         
                                                                      	 IoT-Cloud-Plattformen                                                 
Online Marketing                                                      	 Predictive Marketing                                                  
Firmenkundenportale                                                   	 Firmenkundenportale                                                   
Mobile Apps                                                           	 Mobile Testing                                                        
                                                                      	 Mobiler Außendienst-Assistent (Prototyp)                              
Digital Design                                                        	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
                                                                      	 E2E Digitalisierung Vertrieb/Service/Marketing                        
                                                                      	 Digital Transformation                                                
                                                                      	 Digitalisierungsstrategie                                             
                                                                      	 Kreation & Design                                                     
                                                                      	 Design Thinking                                                       
                                                                      	 Requirements Engineering & Design                                     
Projektmanagement                                                     	 Agiles Projektmanagement                                              
                                                                      	 Pragmatisches IT Projektmanagement                                    
                                                                      	 Projektmanagement-Office (PMO)                                        
International Financial Reporting Standards (IFRS)                    	 Datenmanagement (DWH/Reporting)                                       
Blockchain                                                            	 Blockchain                                                            
Digital Mastery (Digital Readiness Check)                             	 Digitaler Bankarbeitsplatz                                            
                                                                      	 Digitaler Shopfloor                                                   
                                                                      	 E2E Digitalisierung Vertrieb/Service/Marketing                        
                                                                      	 Digital Transformation                                                
                                                                      	 Digitalisierungsstrategie                                             
com2m IoT Plattform                                                   	 com2m IoT-Platform                                                    
                                                                      	 Beratungsleistung IoT                                                 
                                                                      	 IoT-Cloud-Plattformen                                                 
                                                                      	 Hosting & Plattform Management                                        
Embedded Security                                                     	 Security Management                                                   
IT Consulting & Software Architecture                                 	 DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen           
                                                                      	 Flexibel reagieren - Elastische IT-Infrastrukturen etablieren         
                                                                      	 IT Assessment                                                         
                                                                      	 IT muss neue gedacht werden - New School of IT                        
                                                                      	 IT-Architekturmanagement                                              
                                                                      	 IT-Betrieb und -Hosting                                               
                                                                      	 ITIL                                                                  
                                                                      	 IT-Providermanagement                                                 
                                                                      	 Pragmatisches IT Projektmanagement                                    
                                                                      	 Entwicklung einen Raum geben - Software-Projekte im Interaction Room  
Agiles Projektmanagement                                              	 Projektmanagement                                                     
IT Strategy & Enterprise Architecture Consulting                      	 DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen           
                                                                      	 Flexibel reagieren - Elastische IT-Infrastrukturen etablieren         
                                                                      	 IT Assessment                                                         
                                                                      	 IT muss neue gedacht werden - New School of IT                        
                                                                      	 IT-Architekturmanagement                                              
                                                                      	 IT-Betrieb und -Hosting                                               
                                                                      	 ITIL                                                                  
                                                                      	 IT-Providermanagement                                                 
                                                                      	 Pragmatisches IT Projektmanagement                                    
Marketing                                                             	 Predictive Marketing                                                  
Release Management                                                    	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
Interaction Room (IR)                                                 	 Entwicklung einen Raum geben - Software-Projekte im Interaction Room  
Business Transformation                                               	 Business Consulting                                                   
                                                                      	 Business Productivity                                                 
                                                                      	 PBM - Personal Business Machine                                       
                                                                      	 IT Transformation & Agilisierung der Organisation                     
                                                                      	 Digital Transformation                                                
Prozess Automatisierung                                               	 IT-Prozesse und IT-Providermanagement                                 
                                                                      	 Prozess Management                                                    
MIGSuite                                                              	 MIGSuite                                                              
E2E Digitalisierung Vertrieb/Service/Marketing                        	 Digitalisierung Bankenkooperation                                     
Customer Experience Management                                        	 Customer Data Hub                                                     
                                                                      	 Customer Data Hub/Customer Data Platform                              
                                                                      	 SAP Customer Experience                                               
                                                                      	 Change Management & Veränderungsfähigkeit                             
                                                                      	 Hosting & Application Management                                      
                                                                      	 Service & Security Management                                         
                                                                      	 Prozess Management                                                    
                                                                      	 Innovation Management                                                 
                                                                      	 Hosting & Plattform Management                                        
Insurance Distribution Directive                                      	 Insurance                                                             
IT-Providermanagement                                                 	 IT-Prozesse und IT-Providermanagement                                 
Customer Data Hub                                                     	 Customer Journey                                                      
                                                                      	 Customer Experience Kampagne                                          
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 Data Science / Künstliche Intelligenz                                 
                                                                      	 Informationsmanagement im Zeichen von Big Data                        
SAP Customer Experience                                               	 Customer Journey                                                      
                                                                      	 Customer Experience Kampagne                                          
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 in|RELATION Customer Relationship Management                          
Websites & Portale                                                    	 Portale zur Übermittlung und Bearbeitung von Angeboten                
Künstliche Intelligenz verändert den Blickwinkel                      	 Firmenkundenportale                                                   
                                                                      	 Schaden-/ Leistungsprozesse                                           
                                                                      	 eID - Elektronische Identität                                         
                                                                      	 Industry Independent                                                  
Machine / Deep-Learning                                               	 PBM - Personal Business Machine                                       
Kreation & Design                                                     	 Grafik/ Design/ Kreation                                              
                                                                      	 Design for Operation                                                  
                                                                      	 Design Thinking                                                       
                                                                      	 Digital Design                                                        
Cloud                                                                 	 Cloud/ Cloudmanagement                                                
com2m IoT-Platform                                                    	 com2m IoT Plattform                                                   
Prozess Management                                                    	 Prozess Automatisierung                                               
                                                                      	 Prozessoptimierung Underwriting                                       
                                                                      	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
                                                                      	 Security Management                                                   
Schaden-/ Leistungsprozesse                                           	 Digitaler Schadensprozess                                             
                                                                      	 Schaden-/ Leistungsmanagement                                         
                                                                      	 Schadenregulierung                                                    
Agile Portfolio                                                       	 Agile                                                                 
Technologie-/ Datenmigration in der öffentlichen Verwaltung           	 Backend Technologien                                                  
                                                                      	 Frontend Technologien                                                 
Predictive Marketing                                                  	 Predictive Maintenance und Field Service                              
                                                                      	 Marketing                                                             
                                                                      	 Online Marketing                                                      
                                                                      	 Marketing Automation                                                  
                                                                      	 E2E Digitalisierung Vertrieb/Service/Marketing                        
